field,magnetization,sample
0.9066666666666667,0.974677584921821,Loop1
0.9199999999999999,0.9714728242998273,Loop1
0.9333333333333333,1.0160450518138664,Loop1
0.9466666666666668,0.9697110819562449,Loop1
0.96,0.99543916174632,Loop1
0.9733333333333334,0.9356546128543777,Loop1
0.9866666666666666,0.9762574441600703,Loop1
1.0,1.0067705046547737,Loop1
0.9866666666666667,0.999838462647936,Loop1
0.9733333333333334,0.9613056579634172,Loop1
0.96,1.0143233719933338,Loop1
0.9466666666666667,0.9602232770134703,Loop1
0.9333333333333333,0.9627751000610164,Loop1
0.92,0.9778501512551453,Loop1
0.9066666666666666,0.9944576390492524,Loop1
0.8933333333333333,0.9822476997374915,Loop1
0.88,0.9612074799397993,Loop1
0.8666666666666667,0.9548918230020511,Loop1
0.8533333333333333,0.9611095754085707,Loop1
0.84,0.9637203818366841,Loop1
0.8266666666666667,0.9551756800622386,Loop1
0.8133333333333334,0.9501356356099837,Loop1
0.8,0.9337635448971559,Loop1
0.7866666666666666,0.9317339339928273,Loop1
0.7733333333333333,0.9552387013942344,Loop1
0.76,0.9735609956717729,Loop1
0.7466666666666666,0.9525519757559614,Loop1
0.7333333333333334,0.9527549511298967,Loop1
0.72,0.9469793259859406,Loop1
0.7066666666666667,0.9619813452114656,Loop1
0.6933333333333334,0.9479734749526181,Loop1
0.6799999999999999,0.9053708943643557,Loop1
0.6666666666666667,0.9263008883040739,Loop1
0.6533333333333333,0.9073915417428919,Loop1
0.64,0.9474959005300736,Loop1
0.6266666666666667,0.9164312157077077,Loop1
0.6133333333333333,0.9162567303682552,Loop1
0.6,0.9001409131724657,Loop1
0.5866666666666667,0.894273031799404,Loop1
0.5733333333333333,0.8571760141924649,Loop1
0.56,0.8617262810411366,Loop1
0.5466666666666666,0.8835284172471056,Loop1
0.5333333333333333,0.8965279523944272,Loop1
0.52,0.8980156584368126,Loop1
0.5066666666666666,0.8877489864543315,Loop1
0.4933333333333333,0.8668753628769033,Loop1
0.48,0.847728795113484,Loop1
0.4666666666666667,0.7990287274005222,Loop1
0.45333333333333337,0.8360395360374429,Loop1
0.43999999999999995,0.7789203881490212,Loop1
0.42666666666666664,0.7593088812670623,Loop1
0.41333333333333333,0.7791049387019392,Loop1
0.4,0.7704858969207407,Loop1
0.3866666666666667,0.7539422963155606,Loop1
0.3733333333333333,0.7474471580465246,Loop1
0.36,0.7120654491394737,Loop1
0.3466666666666667,0.6929628887987715,Loop1
0.33333333333333337,0.6196247234135118,Loop1
0.31999999999999995,0.6829006023758804,Loop1
0.30666666666666664,0.6487124636858232,Loop1
0.29333333333333333,0.5946238527347156,Loop1
0.28,0.5873907773877663,Loop1
0.2666666666666667,0.5529846501158052,Loop1
0.2533333333333333,0.5587376544379674,Loop1
0.24,0.5718545679640268,Loop1
0.22666666666666668,0.5116822633326785,Loop1
0.21333333333333337,0.49499849642062044,Loop1
0.19999999999999996,0.41133213776970695,Loop1
0.18666666666666665,0.47827835235817917,Loop1
0.17333333333333334,0.40620887348830653,Loop1
0.16000000000000003,0.4165122933602961,Loop1
0.1466666666666666,0.3543913948574418,Loop1
0.1333333333333333,0.32833367529745494,Loop1
0.12,0.3045868509795615,Loop1
0.10666666666666669,0.25879451799815517,Loop1
0.09333333333333338,0.2066952339482925,Loop1
0.07999999999999996,0.21536504584140387,Loop1
0.06666666666666665,0.18451782670871764,Loop1
0.053333333333333344,0.14825989993280142,Loop1
0.040000000000000036,0.0746078459635077,Loop1
0.026666666666666616,0.07812028046806141,Loop1
0.013333333333333308,0.05027581851224536,Loop1
0.0,0.013366056793887717,Loop1
-0.01333333333333342,-0.03362199265045792,Loop1
-0.026666666666666616,-0.061248694094197774,Loop1
-0.040000000000000036,-0.0705207050404427,Loop1
-0.05333333333333323,-0.11874076870665856,Loop1
-0.06666666666666665,-0.1644774486103784,Loop1
-0.08000000000000007,-0.20121132686402482,Loop1
-0.09333333333333327,-0.258279500849011,Loop1
-0.10666666666666669,-0.2601002720860376,Loop1
-0.1200000000000001,-0.28575787849127215,Loop1
-0.1333333333333333,-0.3214824552926747,Loop1
-0.14666666666666672,-0.3599315601210871,Loop1
-0.15999999999999992,-0.3726654786897614,Loop1
-0.17333333333333334,-0.41768578538828766,Loop1
-0.18666666666666676,-0.4180275947380732,Loop1
-0.19999999999999996,-0.4307613147435942,Loop1
-0.21333333333333337,-0.487195157299015,Loop1
-0.22666666666666657,-0.5099074421331241,Loop1
-0.24,-0.5596612047788038,Loop1
-0.2533333333333334,-0.5869025144344409,Loop1
-0.2666666666666666,-0.5644667813435842,Loop1
-0.28,-0.6014597067992806,Loop1
-0.2933333333333332,-0.6321492037612683,Loop1
-0.30666666666666664,-0.6420085509459884,Loop1
-0.32000000000000006,-0.644561498740331,Loop1
-0.33333333333333326,-0.695220656190919,Loop1
-0.3466666666666667,-0.731968252301903,Loop1
-0.3600000000000001,-0.6983767212327968,Loop1
-0.3733333333333333,-0.7150582632702447,Loop1
-0.3866666666666667,-0.729247020267243,Loop1
-0.3999999999999999,-0.7625443086047328,Loop1
-0.41333333333333333,-0.7774379674856285,Loop1
-0.42666666666666675,-0.781830429965497,Loop1
-0.43999999999999995,-0.7716389189830544,Loop1
-0.45333333333333337,-0.812698207112527,Loop1
-0.46666666666666656,-0.8491818957461015,Loop1
-0.48,-0.8043169756467252,Loop1
-0.4933333333333334,-0.8641141052190505,Loop1
-0.5066666666666666,-0.820505778029386,Loop1
-0.52,-0.8606368734559591,Loop1
-0.5333333333333334,-0.8865772804233857,Loop1
-0.5466666666666666,-0.8705469955249121,Loop1
-0.56,-0.8610146552244217,Loop1
-0.5733333333333333,-0.8635510969186164,Loop1
-0.5866666666666667,-0.9049007145052496,Loop1
-0.6000000000000001,-0.9111598953974193,Loop1
-0.6133333333333333,-0.8920345295690556,Loop1
-0.6266666666666667,-0.8925556863736577,Loop1
-0.6399999999999999,-0.9026705074876316,Loop1
-0.6533333333333333,-0.9679995772260226,Loop1
-0.6666666666666667,-0.9275849132658058,Loop1
-0.6799999999999999,-0.9474006554501974,Loop1
-0.6933333333333334,-0.9345241871806302,Loop1
-0.7066666666666668,-0.9388229073900485,Loop1
-0.72,-0.9457976377534587,Loop1
-0.7333333333333334,-0.9353916091698383,Loop1
-0.7466666666666666,-0.9536264022800475,Loop1
-0.76,-0.9834013822036705,Loop1
-0.7733333333333334,-0.9361734233119199,Loop1
-0.7866666666666666,-0.9762069280740425,Loop1
-0.8,-0.9824805659048702,Loop1
-0.8133333333333332,-0.9306382957132467,Loop1
-0.8266666666666667,-0.9764311463769426,Loop1
-0.8400000000000001,-0.9668927196683162,Loop1
-0.8533333333333333,-0.9730899147545048,Loop1
-0.8666666666666667,-0.9837522284529432,Loop1
-0.8799999999999999,-0.9603697013311545,Loop1
-0.8933333333333333,-0.9809843103811848,Loop1
-0.9066666666666667,-0.9987984712169793,Loop1
-0.9199999999999999,-0.9731493508397981,Loop1
-0.9333333333333333,-0.9530759469603668,Loop1
-0.9466666666666668,-1.029513890425451,Loop1
-0.96,-0.990544111465507,Loop1
-0.9733333333333334,-0.9677170847729866,Loop1
-0.9866666666666666,-1.0037584735013072,Loop1
